name,stat text raw,min_avg,max_avg
Al Dhih,Grants 19 Life per Enemy Hit,19,19
Al Dhih,(100-120)% increased Physical Damage,100,120
Alberon's Warpath,Summoned Skeleton Warriors are Permanent and Follow you&lt;br&gt;Summon Skeletons cannot Summon more than 1 Skeleton Warrior,1,1
Alberon's Warpath,+(13-19)% to Chaos Resistance,13,19
Alberon's Warpath,Adds 1 to 80 Chaos Damage to Attacks,41,41
Alberon's Warpath,+(180-220) to Armour,180,220
Alberon's Warpath,(15-18)% increased Strength,15,18
Alberon's Warpath,25% increased Movement Speed,25,25
Algor Mortis,+(15-20)% to Cold and Lightning Resistances,15,20
Algor Mortis,+(50-70) to maximum Energy Shield,50,70
Algor Mortis,(15-20)% increased Effect of Non-Damaging Ailments,15,20
Algor Mortis,(20-30)% chance to Sap Enemies in Chilling Areas,20,30
Algor Mortis,Enemies in your Chilling Areas take (25-35)% increased Lightning Damage,25,35
Allelopathy,You cannot be Hindered,1,1
Allelopathy,(100-120)% increased Energy Shield,100,120
Allelopathy,Blight has (20-30)% increased Hinder Duration,20,30
Allelopathy,Grants Level 25 Blight Skill,25,25
Allelopathy,10% increased Area of Effect,10,10
Allure,Adds (15-20) to (30-40) Physical Damage,23,30
Allure,(8-12)% increased Attack Speed,8,12
Allure,15% increased Movement Speed while Phasing,15,15
Allure,2% of Physical Attack Damage Leeched as Life,200,200
Allure,(110-130)% increased Physical Damage,110,130
Allure,You gain Phasing for 10 seconds on using a Vaal Skill,10000,10000
Alpha's Howl,(80-100)% increased Evasion Rating,80,100
Alpha's Howl,+(20-30)% to Cold Resistance,20,30
Alpha's Howl,Cannot be Frozen,1,1
Alpha's Howl,25% chance to Avoid being Chilled,25,25
Alpha's Howl,16% increased Mana Reservation Efficiency of Skills,16,16
Alpha's Howl,+2 to Level of Socketed Aura Gems,2,2
Amanamu's Gaze,"Minions have +6% to Damage over Time Multiplier per&lt;br&gt;Ghastly Eye Jewel affecting you, up to a maximum of +30%",6,6
Amanamu's Gaze,+(5-10) to all Attributes,5,10
Ambition,,,
Ambu's Charge,+15% to all Elemental Resistances,15,15
Ambu's Charge,Your nearby party members maximum Endurance Charges is equal to yours,1,1
Ambu's Charge,+(60-80) to maximum Life,60,80
Ambu's Charge,Gain up to maximum Endurance Charges when you take a Critical Strike,100,100
Ambu's Charge,(180-220)% increased Armour and Energy Shield,180,220
Amplification Rod,Socketed Gems are Supported by Level 10 Intensify,10,10
Amplification Rod,Socketed Gems are Supported by Level 10 Controlled Destruction,10,10
Amplification Rod,Socketed Gems are Supported by Level 10 Spell Echo,10,10
Amplification Rod,+2 to Level of Socketed Gems,2,2
Amplification Rod,(15-19)% increased Spell Damage,15,19
Amplification Rod,+(10-30) to Intelligence,10,30
Anathema,(10-20)% chance to gain a Power Charge when you Cast a Curse Spell,10,20
Anathema,+(30-40) to Intelligence,30,40
Anathema,(10-15)% increased Cast Speed,10,15
Anathema,+(15-25) to maximum Energy Shield,15,25
Anathema,Your Curse Limit is equal to your maximum Power Charges,1,1
Anatomical Knowledge,Adds 1 to Maximum Life per 3 Intelligence Allocated in Radius,752,752
Anatomical Knowledge,(6-8)% increased maximum Life,6,8
Ancestral Vision,Modifiers to Chance to Suppress Spell Damage also apply to Chance to Avoid Elemental Ailments at 50% of their Value,50,50
Ancestral Vision,+(5-10) to Dexterity,5,10
Ancient Skull,Minions have (15-25)% increased Movement Speed,15,25
Ancient Skull,Minions have 50% increased Critical Strike Chance per Maximum Power Charge you have,50,50
Ancient Skull,Minions deal (15-20)% increased Damage,15,20
Ancient Skull,Minions can hear the whispers for 5 seconds after they deal a Critical Strike,5000,5000
Ancient Skull,Minions have (40-20)% reduced maximum Life,-40,-20
Ancient Skull,(150-200)% increased Armour and Energy Shield,150,200
Andvarius,-20% to all Elemental Resistances,-20,-20
Andvarius,+10 to Dexterity,10,10
Andvarius,(6-15)% increased Rarity of Items found,6,15
Andvarius,(50-70)% increased Rarity of Items found,50,70
Annihilation's Approach,30% increased Movement Speed,30,30
Annihilation's Approach,Gain Adrenaline when you become Flame-Touched,1,1
Annihilation's Approach,(60-100)% increased Armour and Evasion,60,100
Annihilation's Approach,Cannot be Chilled&lt;br&gt;Cannot be Frozen,1,1
Annihilation's Approach,Grants Level 20 Approaching Flames Skill,20,20
Annihilation's Approach,Take 6000 Fire Damage per Second while Flame-Touched,6000,6000
Annihilation's Approach,Lose Adrenaline when you cease to be Flame-Touched,1,1
Apep's Rage,Adds (90-130) to (140-190) Chaos Damage to Spells,115,160
Apep's Rage,+(5-10)% to Chaos Resistance,5,10
Apep's Rage,Lose 40 Mana when you use a Skill,40,40
Apep's Rage,Poisons you inflict deal Damage (30-50)% faster,30,50
Apep's Rage,(27-31)% increased Spell Damage,27,31
Apep's Rage,(25-30)% increased Cast Speed,25,30
Apep's Slumber,+25% chance to be Poisoned,25,25
Apep's Slumber,+3% to all maximum Resistances while Poisoned,3,3
Apep's Slumber,Poisons on you expire 50% slower,-50,-50
Apep's Slumber,"Regenerate 80 Energy Shield per Second per Poison on you, up to 400 per second",4800,4800
Apep's Slumber,+(80-100) to maximum Energy Shield,80,100
Apep's Slumber,Adds (50-55) to (72-80) Chaos Damage,61,68
Apep's Slumber,(5-10)% increased Spell Damage,5,10
Apep's Supremacy,Poisons on you expire 50% slower,-50,-50
Apep's Supremacy,+3% to all maximum Resistances while Poisoned,3,3
Apep's Supremacy,Adds (50-55) to (72-80) Chaos Damage,61,68
Apep's Supremacy,(30-50)% faster start of Energy Shield Recharge,30,50
Apep's Supremacy,+(130-150) to maximum Energy Shield,130,150
Apep's Supremacy,You take Chaos Damage instead of Physical Damage from Bleeding,1,1
Apep's Supremacy,(5-10)% increased Spell Damage,5,10
Apep's Supremacy,+25% chance to be Poisoned,25,25
Apex Mode,Spells which have gained Intensity Recently gain 1 Intensity every 0.50 Seconds,500,500
Apex Mode,(20-25)% increased Spell Damage,20,25
Apex Mode,Spells have 10% reduced Critical Strike Chance per Intensity,-10,-10
Apparitions,Minions have (5-10)% increased Movement Speed,5,10
Apparitions,Minions have +(2-5)% chance to Suppress Spell Damage,2,5
Arakaali's Fang,Adds 1 to 59 Chaos Damage,30,30
Arakaali's Fang,100% chance to Trigger Level 1 Raise Spiders on Kill,100,100
Arakaali's Fang,Adds (8-13) to (20-30) Physical Damage,14,22
Arakaali's Fang,40% increased Global Critical Strike Chance,40,40
Arakaali's Fang,(170-200)% increased Physical Damage,170,200
Arakaali's Fang,15% chance to Poison on Hit,15,15
Araku Tiki,+(150-250) to Evasion Rating while on Low Life,150,250
Araku Tiki,Regenerate (2-4) Life per second,120,240
Araku Tiki,+(30-50) to maximum Life,30,50
Araku Tiki,You have Phasing while on Low Life,1,1
Araku Tiki,+(20-30)% to Fire Resistance,20,30
Araku Tiki,Gain Elusive on reaching Low Life,1,1
Arbitrary Tenets,Favours at Ritual Altars in your Maps randomly cost between 90% less and 80% more,1,1
Arbitrary Tenets,2% increased Maps found in your Maps,2,2
Arborix,(100-160)% increased Evasion Rating if you've Cast Dash recently,100,160
Arborix,+(15-25)% to Global Critical Strike Multiplier,15,25
Arborix,(20-30)% increased Attack Speed if you haven't Cast Dash recently,20,30
Arborix,Bow Attacks fire 2 additional Arrows if you haven't Cast Dash recently,2,2
Arborix,Adds (80-100) to (200-225) Physical Damage,140,163
Arborix,Iron Reflexes,1,1
Arborix,Travel Skills other than Dash are Disabled,1,1
Arborix,(20-30)% increased Movement Speed if you've Cast Dash recently,20,30
Arborix,Grants Level 30 Dash Skill,30,30
Architect's Hand,(200-250)% increased Evasion and Energy Shield,200,250
Architect's Hand,Increases and Reductions to Cast Speed also Apply to Trap Throwing Speed,1,1
Architect's Hand,(4-6)% chance to throw up to 4 additional Traps,4,6
Architect's Hand,+(30-40) to Dexterity,30,40
Architect's Hand,(30-20)% reduced Trap Throwing Speed,-30,-20
Arn's Anguish,Modifiers to Minimum Endurance Charges instead apply to Minimum Brutal Charges,1,1
Arn's Anguish,(15-25)% increased Stun and Block Recovery,15,25
Arn's Anguish,Maximum Brutal Charges is equal to Maximum Endurance Charges,1,1
Arn's Anguish,(12-15)% increased maximum Life,12,15
Arn's Anguish,+(40-60)% to Fire Resistance,40,60
Arn's Anguish,+1 to Maximum Endurance Charges,1,1
Arn's Anguish,+(600-700) to Armour,600,700
Arn's Anguish,Gain Brutal Charges instead of Endurance Charges,1,1
Ascent From Flesh,+300 to Evasion Rating,300,300
Ascent From Flesh,10% increased Movement Speed while Phasing,10,10
Ascent From Flesh,You have Phasing if Energy Shield Recharge has started Recently,1,1
Ascent From Flesh,+(10-15)% to all Elemental Resistances,10,15
Ascent From Flesh,+(9-20) to maximum Energy Shield,9,20
Ascent From Flesh,+(75-80) to maximum Energy Shield,75,80
Ascent From Flesh,30% increased Evasion Rating while Phasing,30,30
Asenath's Chant,+(100-120) to maximum Energy Shield&lt;br&gt;(30-40)% increased Stun and Block Recovery,65,80
Asenath's Chant,"Trigger a Socketed Spell when you Attack with a Bow, with a 0.3 second Cooldown",100,100
Asenath's Chant,(10-15)% increased Attack Speed,10,15
Asenath's Chant,(10-15)% increased Cast Speed,10,15
Asenath's Chant,30% increased Mana Regeneration Rate,30,30
Asenath's Chant,5% increased Movement Speed,5,5
Asenath's Gentle Touch,"Enemies near corpses affected by your Curses are Blinded&lt;br&gt;Enemies Killed near corpses affected by your Curses explode, dealing&lt;br&gt;3% of their Life as Physical Damage",3,3
Asenath's Gentle Touch,+(60-80) to maximum Mana,60,80
Asenath's Gentle Touch,+(60-80) to maximum Life,60,80
Asenath's Gentle Touch,Non-Aura Curses you inflict are not removed from Dying Enemies,1,1
Asenath's Gentle Touch,Curse Enemies with Temporal Chains on Hit,10,10
Asenath's Gentle Touch,+(20-30) to Intelligence,20,30
Asenath's Mark,(10-15)% increased Attack Speed,10,15
Asenath's Mark,30% increased Mana Regeneration Rate,30,30
Asenath's Mark,+(30-50) to maximum Energy Shield,30,50
Asenath's Mark,(30-60)% increased Spell Damage,30,60
Asenath's Mark,"Trigger a Socketed Spell when you Attack with a Bow, with a 0.3 second Cooldown",100,100
Ashcaller,10% chance to Cover Enemies in Ash on Hit,10,10
Ashcaller,25% chance to Trigger Level 10 Summon Raging Spirit on Kill,25,25
Ashcaller,Adds (1-2) to (3-4) Fire Damage to Spells and Attacks,2,3
Ashcaller,Adds (20-24) to (38-46) Fire Damage to Spells,29,35
Ashcaller,Adds (20-24) to (38-46) Fire Damage,29,35
Ashes of the Stars,+(20-30)% to Quality of all Skill Gems,20,30
Ashes of the Stars,+(10-16) to all Attributes,10,16
Ashes of the Stars,(5-10)% increased Experience Gain of Gems,5,10
Ashes of the Stars,+1 to Level of all Skill Gems,1,1
Ashes of the Sun,30% chance to Ignite,30,30
Ashes of the Sun,25% increased Burning Damage,25,25
Ashes of the Sun,Adds 3 to 6 Fire Damage,5,5
Ashes of the Sun,500% increased Ignite Duration on Enemies,500,500
Ashes of the Sun,10% reduced Enemy Stun Threshold,10,10
Ashes of the Sun,20% increased Attack Speed,20,20
Ashrend,(80-100)% increased Evasion Rating,80,100
Ashrend,+(40-50)% to Fire Resistance,40,50
Ashrend,(75-150)% increased Physical Damage with Ranged Weapons,75,150
Ashrend,Cannot be Ignited,1,1
Ashrend,-(60-30) Physical Damage taken from Attack Hits,-60,-30
Asphyxia's Wrath,(20-30)% increased Projectile Speed,20,30
Asphyxia's Wrath,Hexes Transfer to all Enemies within 3 metres when Hexed Enemy dies,1,1
Asphyxia's Wrath,+(30-40)% to Cold Resistance,30,40
Asphyxia's Wrath,(8-12)% increased Attack Speed,8,12
Asphyxia's Wrath,Gain 20% of Physical Damage as Extra Cold Damage,20,20
Asphyxia's Wrath,(30-40)% increased Chill Duration on Enemies,30,40
Asphyxia's Wrath,(7-10)% chance to Freeze,7,10
Asphyxia's Wrath,Grants Level 5 Frostbite Skill,5,5
Assailum,+(14-20)% chance to Suppress Spell Damage while Channelling,14,20
Assailum,Grants Level 30 Snipe Skill,30,30
Assailum,+2 to maximum Snipe Stages,2,2
Assailum,+(350-500) to Evasion Rating,350,500
Assailum,+(350-500) to Accuracy Rating,350,500
Assailum,Socketed Non-Channelling Bow Skills are Triggered by Snipe&lt;br&gt;Socketed Triggered Bow Skills gain a 0.05 second Cooldown,30,30
Assassin's Haste,10% increased Mana Regeneration Rate,10,10
Assassin's Haste,4% increased Attack and Cast Speed,4,4
Assassin's Haste,4% increased Movement Speed,4,4
Astral Projector,30% chance to Avoid Elemental Ailments,30,30
Astral Projector,(20-25)% increased Spell Damage,20,25
Astral Projector,Nova Spells have 20% less Area of Effect,-20,-20
Astral Projector,Nova Spells Cast at the targeted location instead of around you,1,1
Astral Projector,+(20-30)% to Lightning Resistance,20,30
Astral Projector,+(30-50) to Intelligence,30,50
Astramentis,-4 Physical Damage taken from Attack Hits,-4,-4
Astramentis,+(10-16) to all Attributes,10,16
Astramentis,+(80-100) to all Attributes,80,100
Atop the Atlas,,,
Atziri's Acuity,(200-220)% increased Armour,200,220
Atziri's Acuity,(40-60)% increased Global Critical Strike Chance,40,60
Atziri's Acuity,You have Vaal Pact if you've dealt a Critical Strike Recently,1,1
Atziri's Acuity,+(60-75) to maximum Life,60,75
Atziri's Acuity,+(60-80) to Intelligence,60,80
Atziri's Disfavour,Adds (310-330) to (370-390) Physical Damage,340,360
Atziri's Disfavour,(12-16)% increased Attack Speed,12,16
Atziri's Disfavour,+30% to Quality of Socketed Support Gems,30,30
Atziri's Disfavour,25% chance to Maim on Hit,25,25
Atziri's Disfavour,+1 metres to Weapon Range,10,10
Atziri's Disfavour,25% chance to cause Bleeding on Hit,25,25
Atziri's Foible,Items and Gems have 25% reduced Attribute Requirements,-25,-25
Atziri's Foible,+100 to maximum Mana,100,100
Atziri's Foible,(16-24)% increased maximum Mana,16,24
Atziri's Foible,(20-30)% increased Mana Regeneration Rate,20,30
Atziri's Foible,(80-100)% increased Mana Regeneration Rate,80,100
Atziri's Mirror,+(20-30)% to all Elemental Resistances,20,30
Atziri's Mirror,50% reduced Duration of Curses on you,-50,-50
Atziri's Mirror,+20% Chance to Block Spell Damage while Cursed,20,20
Atziri's Mirror,Hex Reflection,1,1
Atziri's Mirror,6% increased Movement Speed,6,6
Atziri's Mirror,(180-200)% increased Evasion Rating,180,200
Atziri's Mirror,+(40-60) to Intelligence,40,60
Atziri's Mirror,+10% Chance to Block Attack Damage while not Cursed,10,10
Atziri's Promise,Gain (5-8)% of Elemental Damage as Extra Chaos Damage during effect,5,8
Atziri's Promise,2% of Chaos Damage Leeched as Life during Effect,200,200
Atziri's Promise,Gain (5-8)% of Physical Damage as Extra Chaos Damage during effect,5,8
Atziri's Reflection,+(20-30)% to all Elemental Resistances,20,30
Atziri's Reflection,(15-20)% increased Effect of your Curses,15,20
Atziri's Reflection,Unaffected by Curses,1,1
Atziri's Reflection,Hex Reflection,1,1
Atziri's Reflection,+(180-200) to maximum Energy Shield,180,200
Atziri's Reflection,6% increased Movement Speed,6,6
Atziri's Reflection,(180-200)% increased Evasion Rating,180,200
Atziri's Reflection,+(40-60) to Intelligence,40,60
Atziri's Rule,Grants Level 20 Queen's Demand Skill,20,20
Atziri's Rule,Queen's Demand can Trigger Level 20 Storm of Judgement,20,20
Atziri's Rule,Cannot be Stunned,1,1
Atziri's Rule,+25% Chance to Block Attack Damage while wielding a Staff,25,25
Atziri's Rule,Queen's Demand can Trigger Level 20 Flames of Judgement,20,20
Atziri's Rule,Damage cannot be Reflected,1,1
Atziri's Splendour,+(20-24)% to all Elemental Resistances,20,24
Atziri's Splendour,+1 to Level of all Vaal Skill Gems,1,1
Atziri's Splendour,(270-300)% increased Energy Shield,270,300
Atziri's Splendour,+(70-80) to maximum Energy Shield,70,80
Atziri's Splendour,Gain 100 Life per Enemy Killed,100,100
Atziri's Splendour,Gain 100 Mana per Enemy Killed,100,100
Atziri's Splendour,+(90-100) to maximum Life,90,100
Atziri's Splendour,(200-220)% increased Evasion and Energy Shield,200,220
Atziri's Splendour,(380-420)% increased Evasion Rating,380,420
Atziri's Splendour,(200-220)% increased Armour and Evasion,200,220
Atziri's Splendour,(200-220)% increased Armour and Energy Shield,200,220
Atziri's Splendour,(380-420)% increased Armour,380,420
Atziri's Splendour,"(270-340)% increased Armour, Evasion and Energy Shield",270,340
Atziri's Step,180% increased Evasion Rating,180,180
Atziri's Step,+(20-26)% chance to Suppress Spell Damage,20,26
Atziri's Step,+(55-75) to maximum Life,55,75
Atziri's Step,30% increased Movement Speed,30,30
Augyre,100% increased Physical Damage while you have Resolute Technique,100,100
Augyre,(10-15)% increased Attack Speed,10,15
Augyre,Every 16 seconds you gain Elemental Overload for 8 seconds,1,1
Augyre,(180-220)% increased Physical Damage,180,220
Augyre,40% increased Elemental Damage,40,40
Augyre,You have Resolute Technique while you do not have Elemental Overload,1,1
Augyre,(80-100)% increased Critical Strike Chance,80,100
Augyre,50% of Physical Damage Converted to Lightning Damage,50,50
Aukuna's Will,(100-150)% increased Evasion and Energy Shield,100,150
Aukuna's Will,Raise Zombie does not require a corpse,1,1
Aukuna's Will,Raised Zombies have (80-100)% increased maximum Life,80,100
Aukuna's Will,(5-7)% increased Cast Speed,5,7
Aukuna's Will,Your Raised Zombies count as corpses,1,1
Aukuna's Will,+(30-40) to Dexterity,30,40
Aul's Uprising,Grants Level 15 Envy Skill,15,15
Aul's Uprising,+(10-16) to all Attributes,10,16
Aul's Uprising,+(15-20) to all Attributes,15,20
Aul's Uprising,+(50-70) to maximum Life,50,70
Aul's Uprising,(15-20)% increased Global Defences,15,20
Aul's Uprising,Envy has no Reservation,1,1
Aul's Uprising,+(20-30) to Dexterity,20,30
Aul's Uprising,(15-20)% increased Evasion Rating,15,20
Aul's Uprising,Nearby Enemies grant 25% increased Flask Charges,25,25
Aul's Uprising,Purity of Ice has no Reservation,1,1
Aul's Uprising,Grace has no Reservation,1,1
Aul's Uprising,Hatred has no Reservation,1,1
Aul's Uprising,Haste has no Reservation,1,1
Aul's Uprising,(15-20)% increased maximum Energy Shield,15,20
Aul's Uprising,Hits against Nearby Enemies have 50% increased Critical Strike Chance,2,2
Aul's Uprising,+(20-30) to Intelligence,20,30
Aul's Uprising,Zealotry has no Reservation,1,1
Aul's Uprising,Malevolence has no Reservation,1,1
Aul's Uprising,Discipline has no Reservation,1,1
Aul's Uprising,Purity of Elements has no Reservation,1,1
Aul's Uprising,Wrath has no Reservation,1,1
Aul's Uprising,Purity of Lightning has no Reservation,1,1
Aul's Uprising,Clarity has no Reservation,1,1
Aul's Uprising,Nearby Enemies have 10% reduced Stun and Block Recovery,-10,-10
Aul's Uprising,+(20-30) to Strength,20,30
Aul's Uprising,(15-20)% increased Armour,15,20
Aul's Uprising,Pride has no Reservation,1,1
Aul's Uprising,Purity of Fire has no Reservation,1,1
Aul's Uprising,Anger has no Reservation,1,1
Aul's Uprising,Determination has no Reservation,1,1
Aul's Uprising,Vitality has no Reservation,1,1
Aurseize,+15% to all Elemental Resistances,15,15
Aurseize,(40-60)% increased Armour and Evasion,40,60
Aurseize,(40-50)% increased Rarity of Items found,40,50
Aurseize,5% reduced Movement Speed,-5,-5
Aurumvorax,+(40-60)% to all Elemental Resistances,40,60
Aurumvorax,20% reduced Rarity of Items found,-20,-20
Aurumvorax,(120-150)% increased Physical Damage,120,150
Aurumvorax,Grants 3 Life per Enemy Hit,3,3
Aurumvorax,+25% to Global Critical Strike Multiplier,25,25
Auxium,+(45-55) to maximum Mana,45,55
Auxium,(20-25)% increased Elemental Damage with Attack Skills per Power Charge,20,25
Auxium,Chill Effect and Freeze Duration on you are based on 100% of Energy Shield,100,100
Auxium,0.2% of Attack Damage Leeched as Mana per Power Charge,20,20
