league,market_id,volume_traded,lowest_stock,highest_stock,lowest_ratio,highest_ratio
Mirage,gcp|chaos,"{'gcp': 34457, 'chaos': 114138}","{'gcp': 38043, 'chaos': 166435}","{'gcp': 45013, 'chaos': 182849}","{'gcp': 1, 'chaos': 4}","{'gcp': 1, 'chaos': 2}"
Mirage,gcp|divine,"{'gcp': 30313, 'divine': 251}","{'gcp': 21657, 'divine': 210}","{'gcp': 39980, 'divine': 230}","{'gcp': 112, 'divine': 1}","{'gcp': 133, 'divine': 1}"
Mirage,gcp|fusing,"{'gcp': 2, 'fusing': 10}","{'gcp': 0, 'fusing': 220}","{'gcp': 0, 'fusing': 250}","{'gcp': 1, 'fusing': 5}","{'gcp': 1, 'fusing': 5}"
Mirage,screaming-essence-of-anger|chaos,"{'screaming-essence-of-anger': 184, 'chaos': 61}","{'screaming-essence-of-anger': 5648, 'chaos': 162}","{'screaming-essence-of-anger': 5826, 'chaos': 202}","{'screaming-essence-of-anger': 1, 'chaos': 1}","{'screaming-essence-of-anger': 4, 'chaos': 1}"
Mirage,deathly-designs|chaos,"{'deathly-designs': 44, 'chaos': 214}","{'deathly-designs': 2654, 'chaos': 316}","{'deathly-designs': 2661, 'chaos': 320}","{'deathly-designs': 1, 'chaos': 5}","{'deathly-designs': 1, 'chaos': 2}"
Mirage,incursion-scarab-of-timelines|chaos,"{'incursion-scarab-of-timelines': 1416, 'chaos': 8258}","{'incursion-scarab-of-timelines': 638, 'chaos': 4709}","{'incursion-scarab-of-timelines': 1343, 'chaos': 6209}","{'incursion-scarab-of-timelines': 17, 'chaos': 115}","{'incursion-scarab-of-timelines': 1, 'chaos': 4}"
Mirage,incursion-scarab-of-timelines|divine,"{'incursion-scarab-of-timelines': 0, 'divine': 0}","{'incursion-scarab-of-timelines': 2160, 'divine': 14}","{'incursion-scarab-of-timelines': 2510, 'divine': 14}","{'incursion-scarab-of-timelines': 0, 'divine': 0}","{'incursion-scarab-of-timelines': 0, 'divine': 0}"
Mirage,the-forsaken|chaos,"{'the-forsaken': 0, 'chaos': 0}","{'the-forsaken': 67, 'chaos': 0}","{'the-forsaken': 184, 'chaos': 0}","{'the-forsaken': 0, 'chaos': 0}","{'the-forsaken': 0, 'chaos': 0}"
Mirage,mavens-orb|chaos,"{'mavens-orb': 61, 'chaos': 148988}","{'mavens-orb': 74, 'chaos': 30886}","{'mavens-orb': 94, 'chaos': 88866}","{'mavens-orb': 1, 'chaos': 2597}","{'mavens-orb': 1, 'chaos': 2305}"
Mirage,mavens-orb|divine,"{'mavens-orb': 154, 'divine': 1292}","{'mavens-orb': 1028, 'divine': 2458}","{'mavens-orb': 1219, 'divine': 3258}","{'mavens-orb': 1, 'divine': 9}","{'mavens-orb': 1, 'divine': 8}"
Mirage,baited-expectations|chaos,"{'baited-expectations': 399, 'chaos': 5366}","{'baited-expectations': 28, 'chaos': 8249}","{'baited-expectations': 403, 'chaos': 9758}","{'baited-expectations': 1, 'chaos': 14}","{'baited-expectations': 1, 'chaos': 3}"
Mirage,the-dragons-heart|chaos,"{'the-dragons-heart': 106, 'chaos': 27345}","{'the-dragons-heart': 72, 'chaos': 65388}","{'the-dragons-heart': 93, 'chaos': 77464}","{'the-dragons-heart': 1, 'chaos': 265}","{'the-dragons-heart': 1, 'chaos': 255}"
Mirage,forbidden-power|chaos,"{'forbidden-power': 0, 'chaos': 0}","{'forbidden-power': 780, 'chaos': 0}","{'forbidden-power': 780, 'chaos': 0}","{'forbidden-power': 0, 'chaos': 0}","{'forbidden-power': 0, 'chaos': 0}"
Mirage,horned-scarab-of-tradition|chaos,"{'horned-scarab-of-tradition': 181, 'chaos': 196}","{'horned-scarab-of-tradition': 259, 'chaos': 520}","{'horned-scarab-of-tradition': 973, 'chaos': 630}","{'horned-scarab-of-tradition': 3, 'chaos': 4}","{'horned-scarab-of-tradition': 1, 'chaos': 1}"
Mirage,dark-dreams|chaos,"{'dark-dreams': 0, 'chaos': 0}","{'dark-dreams': 31, 'chaos': 0}","{'dark-dreams': 44, 'chaos': 0}","{'dark-dreams': 0, 'chaos': 0}","{'dark-dreams': 0, 'chaos': 0}"
Mirage,dark-dreams|divine,"{'dark-dreams': 0, 'divine': 0}","{'dark-dreams': 2, 'divine': 0}","{'dark-dreams': 4, 'divine': 0}","{'dark-dreams': 0, 'divine': 0}","{'dark-dreams': 0, 'divine': 0}"
Mirage,screaming-essence-of-greed|chaos,"{'screaming-essence-of-greed': 0, 'chaos': 0}","{'screaming-essence-of-greed': 2326, 'chaos': 0}","{'screaming-essence-of-greed': 2701, 'chaos': 0}","{'screaming-essence-of-greed': 0, 'chaos': 0}","{'screaming-essence-of-greed': 0, 'chaos': 0}"
Mirage,rage|chaos,"{'rage': 1738, 'chaos': 14591}","{'rage': 1199, 'chaos': 10970}","{'rage': 1977, 'chaos': 13631}","{'rage': 1, 'chaos': 11}","{'rage': 1, 'chaos': 7}"
Mirage,rage|divine,"{'rage': 33, 'divine': 1}","{'rage': 31, 'divine': 4}","{'rage': 64, 'divine': 4}","{'rage': 33, 'divine': 1}","{'rage': 33, 'divine': 1}"
Mirage,lonely-fragment|chaos,"{'lonely-fragment': 497, 'chaos': 10475}","{'lonely-fragment': 681, 'chaos': 60260}","{'lonely-fragment': 756, 'chaos': 64280}","{'lonely-fragment': 1, 'chaos': 30}","{'lonely-fragment': 1, 'chaos': 17}"
Mirage,lonely-fragment|divine,"{'lonely-fragment': 66, 'divine': 5}","{'lonely-fragment': 410, 'divine': 28}","{'lonely-fragment': 438, 'divine': 38}","{'lonely-fragment': 13, 'divine': 1}","{'lonely-fragment': 14, 'divine': 1}"
Mirage,omen-of-the-jeweller|chaos,"{'omen-of-the-jeweller': 113, 'chaos': 900}","{'omen-of-the-jeweller': 975, 'chaos': 4068}","{'omen-of-the-jeweller': 1003, 'chaos': 4208}","{'omen-of-the-jeweller': 1, 'chaos': 9}","{'omen-of-the-jeweller': 1, 'chaos': 6}"
Mirage,the-doppelganger|chaos,"{'the-doppelganger': 882, 'chaos': 862}","{'the-doppelganger': 11058, 'chaos': 6851}","{'the-doppelganger': 11899, 'chaos': 6951}","{'the-doppelganger': 1, 'chaos': 1}","{'the-doppelganger': 2, 'chaos': 1}"
Mirage,the-life-thief|chaos,"{'the-life-thief': 0, 'chaos': 0}","{'the-life-thief': 23, 'chaos': 0}","{'the-life-thief': 27, 'chaos': 0}","{'the-life-thief': 0, 'chaos': 0}","{'the-life-thief': 0, 'chaos': 0}"
Mirage,awakening-fragment|chaos,"{'awakening-fragment': 4241, 'chaos': 6674}","{'awakening-fragment': 2106, 'chaos': 5035}","{'awakening-fragment': 4424, 'chaos': 7844}","{'awakening-fragment': 1, 'chaos': 4}","{'awakening-fragment': 1, 'chaos': 1}"
Mirage,awakening-fragment|divine,"{'awakening-fragment': 392, 'divine': 5}","{'awakening-fragment': 7423, 'divine': 1}","{'awakening-fragment': 7815, 'divine': 2}","{'awakening-fragment': 78, 'divine': 1}","{'awakening-fragment': 80, 'divine': 1}"
Mirage,deafening-essence-of-suffering|chaos,"{'deafening-essence-of-suffering': 2264, 'chaos': 9220}","{'deafening-essence-of-suffering': 1647, 'chaos': 1848}","{'deafening-essence-of-suffering': 2023, 'chaos': 8144}","{'deafening-essence-of-suffering': 10, 'chaos': 43}","{'deafening-essence-of-suffering': 1, 'chaos': 4}"
Mirage,deafening-essence-of-suffering|divine,"{'deafening-essence-of-suffering': 3126, 'divine': 44}","{'deafening-essence-of-suffering': 2835, 'divine': 235}","{'deafening-essence-of-suffering': 4819, 'divine': 241}","{'deafening-essence-of-suffering': 308, 'divine': 5}","{'deafening-essence-of-suffering': 77, 'divine': 1}"
Mirage,fathers-love|chaos,"{'fathers-love': 0, 'chaos': 0}","{'fathers-love': 0, 'chaos': 14172}","{'fathers-love': 0, 'chaos': 20174}","{'fathers-love': 0, 'chaos': 0}","{'fathers-love': 0, 'chaos': 0}"
Mirage,fathers-love|divine,"{'fathers-love': 1, 'divine': 63}","{'fathers-love': 0, 'divine': 1136}","{'fathers-love': 0, 'divine': 1195}","{'fathers-love': 1, 'divine': 63}","{'fathers-love': 1, 'divine': 63}"
Mirage,the-lich|chaos,"{'the-lich': 0, 'chaos': 0}","{'the-lich': 0, 'chaos': 0}","{'the-lich': 246, 'chaos': 0}","{'the-lich': 0, 'chaos': 0}","{'the-lich': 0, 'chaos': 0}"
Mirage,sambodhis-vow|chaos,"{'sambodhis-vow': 8, 'chaos': 12}","{'sambodhis-vow': 115, 'chaos': 18675}","{'sambodhis-vow': 115, 'chaos': 18686}","{'sambodhis-vow': 4, 'chaos': 7}","{'sambodhis-vow': 1, 'chaos': 1}"
Mirage,the-hoarder|chaos,"{'the-hoarder': 0, 'chaos': 0}","{'the-hoarder': 4194, 'chaos': 0}","{'the-hoarder': 4194, 'chaos': 0}","{'the-hoarder': 0, 'chaos': 0}","{'the-hoarder': 0, 'chaos': 0}"
Mirage,the-hoarder|divine,"{'the-hoarder': 0, 'divine': 0}","{'the-hoarder': 1, 'divine': 0}","{'the-hoarder': 1, 'divine': 0}","{'the-hoarder': 0, 'divine': 0}","{'the-hoarder': 0, 'divine': 0}"
Mirage,the-patient|chaos,"{'the-patient': 47, 'chaos': 144}","{'the-patient': 157, 'chaos': 2798}","{'the-patient': 243, 'chaos': 2918}","{'the-patient': 1, 'chaos': 4}","{'the-patient': 1, 'chaos': 3}"
Mirage,skittering-delirium-orb|chaos,"{'skittering-delirium-orb': 160, 'chaos': 4628}","{'skittering-delirium-orb': 1607, 'chaos': 11902}","{'skittering-delirium-orb': 1692, 'chaos': 13806}","{'skittering-delirium-orb': 1, 'chaos': 30}","{'skittering-delirium-orb': 1, 'chaos': 28}"
Mirage,skittering-delirium-orb|divine,"{'skittering-delirium-orb': 0, 'divine': 0}","{'skittering-delirium-orb': 962, 'divine': 86}","{'skittering-delirium-orb': 995, 'divine': 86}","{'skittering-delirium-orb': 0, 'divine': 0}","{'skittering-delirium-orb': 0, 'divine': 0}"
Mirage,the-apothecary|chaos,"{'the-apothecary': 2, 'chaos': 10205}","{'the-apothecary': 0, 'chaos': 68179}","{'the-apothecary': 1, 'chaos': 73184}","{'the-apothecary': 1, 'chaos': 5200}","{'the-apothecary': 1, 'chaos': 5005}"
Mirage,the-apothecary|divine,"{'the-apothecary': 590, 'divine': 12872}","{'the-apothecary': 246, 'divine': 25484}","{'the-apothecary': 496, 'divine': 28738}","{'the-apothecary': 1, 'divine': 22}","{'the-apothecary': 1, 'divine': 21}"
Mirage,the-black-barya|chaos,"{'the-black-barya': 2137, 'chaos': 1989518}","{'the-black-barya': 341, 'chaos': 250223}","{'the-black-barya': 505, 'chaos': 546856}","{'the-black-barya': 1, 'chaos': 950}","{'the-black-barya': 1, 'chaos': 877}"
Mirage,the-black-barya|divine,"{'the-black-barya': 2088, 'divine': 6096}","{'the-black-barya': 11506, 'divine': 29121}","{'the-black-barya': 11776, 'divine': 30383}","{'the-black-barya': 1, 'divine': 3}","{'the-black-barya': 1, 'divine': 1}"
Mirage,foulborn-regal-orb|chaos,"{'foulborn-regal-orb': 293, 'chaos': 2755}","{'foulborn-regal-orb': 441, 'chaos': 2488}","{'foulborn-regal-orb': 523, 'chaos': 3584}","{'foulborn-regal-orb': 1, 'chaos': 14}","{'foulborn-regal-orb': 1, 'chaos': 5}"
Mirage,immortal-resolve|chaos,"{'immortal-resolve': 21, 'chaos': 160}","{'immortal-resolve': 2666, 'chaos': 0}","{'immortal-resolve': 2708, 'chaos': 4}","{'immortal-resolve': 1, 'chaos': 8}","{'immortal-resolve': 1, 'chaos': 4}"
Mirage,primitive-chaotic-resonator|chaos,"{'primitive-chaotic-resonator': 6841, 'chaos': 6299}","{'primitive-chaotic-resonator': 14212, 'chaos': 6117}","{'primitive-chaotic-resonator': 14891, 'chaos': 8150}","{'primitive-chaotic-resonator': 1, 'chaos': 2}","{'primitive-chaotic-resonator': 2, 'chaos': 1}"
Mirage,primitive-chaotic-resonator|divine,"{'primitive-chaotic-resonator': 737, 'divine': 3}","{'primitive-chaotic-resonator': 18970, 'divine': 5}","{'primitive-chaotic-resonator': 19461, 'divine': 5}","{'primitive-chaotic-resonator': 245, 'divine': 1}","{'primitive-chaotic-resonator': 246, 'divine': 1}"
Mirage,beyond-scarab|chaos,"{'beyond-scarab': 14087, 'chaos': 4921}","{'beyond-scarab': 4157, 'chaos': 286}","{'beyond-scarab': 14014, 'chaos': 513}","{'beyond-scarab': 2, 'chaos': 1}","{'beyond-scarab': 9, 'chaos': 1}"
Mirage,runegraft-of-resurgence|chaos,"{'runegraft-of-resurgence': 137, 'chaos': 1384}","{'runegraft-of-resurgence': 105, 'chaos': 1047}","{'runegraft-of-resurgence': 143, 'chaos': 2377}","{'runegraft-of-resurgence': 1, 'chaos': 17}","{'runegraft-of-resurgence': 1, 'chaos': 10}"
Mirage,bound-fossil|chaos,"{'bound-fossil': 784, 'chaos': 9437}","{'bound-fossil': 1071, 'chaos': 2870}","{'bound-fossil': 1177, 'chaos': 10909}","{'bound-fossil': 1, 'chaos': 16}","{'bound-fossil': 1, 'chaos': 8}"
Mirage,bound-fossil|divine,"{'bound-fossil': 273, 'divine': 13}","{'bound-fossil': 805, 'divine': 28}","{'bound-fossil': 928, 'divine': 38}","{'bound-fossil': 17, 'divine': 1}","{'bound-fossil': 30, 'divine': 1}"
Mirage,divination-scarab-of-pilfering|chaos,"{'divination-scarab-of-pilfering': 1698, 'chaos': 15842}","{'divination-scarab-of-pilfering': 928, 'chaos': 5713}","{'divination-scarab-of-pilfering': 1260, 'chaos': 7794}","{'divination-scarab-of-pilfering': 2, 'chaos': 27}","{'divination-scarab-of-pilfering': 1, 'chaos': 6}"
Mirage,divination-scarab-of-pilfering|divine,"{'divination-scarab-of-pilfering': 546, 'divine': 31}","{'divination-scarab-of-pilfering': 1799, 'divine': 0}","{'divination-scarab-of-pilfering': 1986, 'divine': 16}","{'divination-scarab-of-pilfering': 17, 'divine': 1}","{'divination-scarab-of-pilfering': 18, 'divine': 1}"
Mirage,sinistral-catalyst|chaos,"{'sinistral-catalyst': 752, 'chaos': 25258}","{'sinistral-catalyst': 241, 'chaos': 40953}","{'sinistral-catalyst': 567, 'chaos': 43751}","{'sinistral-catalyst': 1, 'chaos': 39}","{'sinistral-catalyst': 1, 'chaos': 22}"
Mirage,sinistral-catalyst|divine,"{'sinistral-catalyst': 349, 'divine': 51}","{'sinistral-catalyst': 419, 'divine': 92}","{'sinistral-catalyst': 605, 'divine': 103}","{'sinistral-catalyst': 4, 'divine': 1}","{'sinistral-catalyst': 14, 'divine': 1}"
Mirage,azure-rage|chaos,"{'azure-rage': 4, 'chaos': 4}","{'azure-rage': 166, 'chaos': 799}","{'azure-rage': 166, 'chaos': 802}","{'azure-rage': 1, 'chaos': 1}","{'azure-rage': 1, 'chaos': 1}"
Mirage,barans-crest|chaos,"{'barans-crest': 321, 'chaos': 7137}","{'barans-crest': 253, 'chaos': 26296}","{'barans-crest': 452, 'chaos': 26895}","{'barans-crest': 1, 'chaos': 26}","{'barans-crest': 1, 'chaos': 9}"
Mirage,barans-crest|divine,"{'barans-crest': 14, 'divine': 1}","{'barans-crest': 267, 'divine': 0}","{'barans-crest': 267, 'divine': 0}","{'barans-crest': 14, 'divine': 1}","{'barans-crest': 14, 'divine': 1}"
Mirage,serrated-fossil|chaos,"{'serrated-fossil': 135, 'chaos': 1697}","{'serrated-fossil': 214, 'chaos': 16545}","{'serrated-fossil': 254, 'chaos': 17775}","{'serrated-fossil': 1, 'chaos': 16}","{'serrated-fossil': 1, 'chaos': 12}"
Mirage,serrated-fossil|divine,"{'serrated-fossil': 54, 'divine': 2}","{'serrated-fossil': 1604, 'divine': 25}","{'serrated-fossil': 1625, 'divine': 27}","{'serrated-fossil': 25, 'divine': 1}","{'serrated-fossil': 29, 'divine': 1}"
Mirage,blight-scarab|chaos,"{'blight-scarab': 1317, 'chaos': 375}","{'blight-scarab': 2884, 'chaos': 1323}","{'blight-scarab': 4818, 'chaos': 1479}","{'blight-scarab': 2, 'chaos': 1}","{'blight-scarab': 4, 'chaos': 1}"
Mirage,blight-scarab|divine,"{'blight-scarab': 0, 'divine': 0}","{'blight-scarab': 1294, 'divine': 0}","{'blight-scarab': 1294, 'divine': 0}","{'blight-scarab': 0, 'divine': 0}","{'blight-scarab': 0, 'divine': 0}"
Mirage,the-wolverine|chaos,"{'the-wolverine': 0, 'chaos': 0}","{'the-wolverine': 66, 'chaos': 0}","{'the-wolverine': 144, 'chaos': 0}","{'the-wolverine': 0, 'chaos': 0}","{'the-wolverine': 0, 'chaos': 0}"
Mirage,wailing-essence-of-rage|chaos,"{'wailing-essence-of-rage': 0, 'chaos': 0}","{'wailing-essence-of-rage': 621, 'chaos': 0}","{'wailing-essence-of-rage': 706, 'chaos': 0}","{'wailing-essence-of-rage': 0, 'chaos': 0}","{'wailing-essence-of-rage': 0, 'chaos': 0}"
Mirage,tattoo-of-the-arohongui-shaman|chaos,"{'tattoo-of-the-arohongui-shaman': 37, 'chaos': 50950}","{'tattoo-of-the-arohongui-shaman': 66, 'chaos': 62423}","{'tattoo-of-the-arohongui-shaman': 90, 'chaos': 98477}","{'tattoo-of-the-arohongui-shaman': 1, 'chaos': 1485}","{'tattoo-of-the-arohongui-shaman': 1, 'chaos': 1352}"
