name,stat text raw,min_avg,max_avg
Ahn's Might,Adds (80-115) to (150-205) Physical Damage,115,160
Ahn's Might,(15-25)% increased Critical Strike Chance,15,25
Ahn's Might,+(400-500) to Accuracy Rating while at Maximum Frenzy Charges,400,500
Ahuana's Bite,Adds (30-40) to (60-70) Cold Damage to Attacks,45,55
Ahuana's Bite,Gain (6-8) Life per Enemy Hit with Attacks,6,8
Ahuana's Bite,+(20-30)% to Cold Resistance,20,30
Ahuana's Bite,Chill Enemies as though dealing (60-100)% more Damage,60,100
Akoya's Gaze,(20-25)% increased Warcry Speed,20,25
Al Dhih,(100-120)% increased Physical Damage,100,120
Alberon's Warpath,+(13-19)% to Chaos Resistance,13,19
Alberon's Warpath,+(180-220) to Armour,180,220
Alberon's Warpath,(15-18)% increased Strength,15,18
Algor Mortis,+(15-20)% to Cold and Lightning Resistances,15,20
Algor Mortis,+(50-70) to maximum Energy Shield,50,70
Algor Mortis,(15-20)% increased Effect of Non-Damaging Ailments,15,20
Algor Mortis,(20-30)% chance to Sap Enemies in Chilling Areas,20,30
Algor Mortis,Enemies in your Chilling Areas take (25-35)% increased Lightning Damage,25,35
Allelopathy,(100-120)% increased Energy Shield,100,120
Allelopathy,Blight has (20-30)% increased Hinder Duration,20,30
Allure,Adds (15-20) to (30-40) Physical Damage,23,30
Allure,(8-12)% increased Attack Speed,8,12
Allure,(110-130)% increased Physical Damage,110,130
Alpha's Howl,(80-100)% increased Evasion Rating,80,100
Alpha's Howl,+(20-30)% to Cold Resistance,20,30
Amanamu's Gaze,+(5-10) to all Attributes,5,10
Ambu's Charge,+(60-80) to maximum Life,60,80
Ambu's Charge,(180-220)% increased Armour and Energy Shield,180,220
Anathema,(10-20)% chance to gain a Power Charge when you Cast a Curse Spell,10,20
Anathema,+(30-40) to Intelligence,30,40
Anathema,(10-15)% increased Cast Speed,10,15
Anathema,+(15-25) to maximum Energy Shield,15,25
Ancestral Vision,+(5-10) to Dexterity,5,10
Ancient Skull,Minions have (15-25)% increased Movement Speed,15,25
Ancient Skull,Minions deal (15-20)% increased Damage,15,20
Ancient Skull,Minions have (40-20)% reduced maximum Life,-40,-20
Ancient Skull,(150-200)% increased Armour and Energy Shield,150,200
Andvarius,(6-15)% increased Rarity of Items found,6,15
Andvarius,(50-70)% increased Rarity of Items found,50,70
Annihilation's Approach,(60-100)% increased Armour and Evasion,60,100
Apep's Rage,Adds (90-130) to (140-190) Chaos Damage to Spells,115,160
Apep's Rage,+(5-10)% to Chaos Resistance,5,10
Apep's Rage,Poisons you inflict deal Damage (30-50)% faster,30,50
Apep's Rage,(27-31)% increased Spell Damage,27,31
Apep's Rage,(25-30)% increased Cast Speed,25,30
Apep's Slumber,+(80-100) to maximum Energy Shield,80,100
Apep's Slumber,Adds (50-55) to (72-80) Chaos Damage,61,68
Apep's Slumber,(5-10)% increased Spell Damage,5,10
Apep's Supremacy,Adds (50-55) to (72-80) Chaos Damage,61,68
Apep's Supremacy,(30-50)% faster start of Energy Shield Recharge,30,50
Apep's Supremacy,+(130-150) to maximum Energy Shield,130,150
Apep's Supremacy,(5-10)% increased Spell Damage,5,10
Apex Mode,(20-25)% increased Spell Damage,20,25
Arakaali's Fang,Adds (8-13) to (20-30) Physical Damage,14,22
Arakaali's Fang,(170-200)% increased Physical Damage,170,200
Araku Tiki,+(150-250) to Evasion Rating while on Low Life,150,250
Araku Tiki,Regenerate (2-4) Life per second,120,240
Araku Tiki,+(30-50) to maximum Life,30,50
Araku Tiki,+(20-30)% to Fire Resistance,20,30
Arborix,(100-160)% increased Evasion Rating if you've Cast Dash recently,100,160
Arborix,+(15-25)% to Global Critical Strike Multiplier,15,25
Arborix,(20-30)% increased Attack Speed if you haven't Cast Dash recently,20,30
Arborix,Adds (80-100) to (200-225) Physical Damage,140,163
Arborix,(20-30)% increased Movement Speed if you've Cast Dash recently,20,30
Architect's Hand,(200-250)% increased Evasion and Energy Shield,200,250
Architect's Hand,(4-6)% chance to throw up to 4 additional Traps,4,6
Architect's Hand,+(30-40) to Dexterity,30,40
Architect's Hand,(30-20)% reduced Trap Throwing Speed,-30,-20
Arn's Anguish,(15-25)% increased Stun and Block Recovery,15,25
Arn's Anguish,(12-15)% increased maximum Life,12,15
Arn's Anguish,+(40-60)% to Fire Resistance,40,60
Arn's Anguish,+(600-700) to Armour,600,700
Ascent From Flesh,+(10-15)% to all Elemental Resistances,10,15
Ascent From Flesh,+(9-20) to maximum Energy Shield,9,20
Ascent From Flesh,+(75-80) to maximum Energy Shield,75,80
Asenath's Gentle Touch,+(60-80) to maximum Mana,60,80
Asenath's Gentle Touch,+(60-80) to maximum Life,60,80
Asenath's Gentle Touch,+(20-30) to Intelligence,20,30
Asenath's Mark,(10-15)% increased Attack Speed,10,15
Asenath's Mark,+(30-50) to maximum Energy Shield,30,50
Asenath's Mark,(30-60)% increased Spell Damage,30,60
Ashcaller,Adds (1-2) to (3-4) Fire Damage to Spells and Attacks,2,3
Ashcaller,Adds (20-24) to (38-46) Fire Damage to Spells,29,35
Ashcaller,Adds (20-24) to (38-46) Fire Damage,29,35
Ashes of the Stars,+(20-30)% to Quality of all Skill Gems,20,30
Ashes of the Stars,+(10-16) to all Attributes,10,16
Ashes of the Stars,(5-10)% increased Experience Gain of Gems,5,10
Ashrend,(80-100)% increased Evasion Rating,80,100
Ashrend,+(40-50)% to Fire Resistance,40,50
Ashrend,(75-150)% increased Physical Damage with Ranged Weapons,75,150
Ashrend,-(60-30) Physical Damage taken from Attack Hits,-60,-30
Asphyxia's Wrath,(20-30)% increased Projectile Speed,20,30
Asphyxia's Wrath,+(30-40)% to Cold Resistance,30,40
Asphyxia's Wrath,(8-12)% increased Attack Speed,8,12
Asphyxia's Wrath,(30-40)% increased Chill Duration on Enemies,30,40
Asphyxia's Wrath,(7-10)% chance to Freeze,7,10
Assailum,+(14-20)% chance to Suppress Spell Damage while Channelling,14,20
Assailum,+(350-500) to Evasion Rating,350,500
Assailum,+(350-500) to Accuracy Rating,350,500
Astral Projector,(20-25)% increased Spell Damage,20,25
Astral Projector,+(20-30)% to Lightning Resistance,20,30
Astral Projector,+(30-50) to Intelligence,30,50
Astramentis,+(10-16) to all Attributes,10,16
Astramentis,+(80-100) to all Attributes,80,100
Atziri's Acuity,(200-220)% increased Armour,200,220
Atziri's Acuity,(40-60)% increased Global Critical Strike Chance,40,60
Atziri's Acuity,+(60-75) to maximum Life,60,75
Atziri's Acuity,+(60-80) to Intelligence,60,80
Atziri's Disfavour,Adds (310-330) to (370-390) Physical Damage,340,360
Atziri's Disfavour,(12-16)% increased Attack Speed,12,16
Atziri's Foible,(16-24)% increased maximum Mana,16,24
Atziri's Foible,(20-30)% increased Mana Regeneration Rate,20,30
Atziri's Foible,(80-100)% increased Mana Regeneration Rate,80,100
Atziri's Promise,Gain (5-8)% of Elemental Damage as Extra Chaos Damage during effect,5,8
Atziri's Promise,Gain (5-8)% of Physical Damage as Extra Chaos Damage during effect,5,8
Atziri's Reflection,+(20-30)% to all Elemental Resistances,20,30
Atziri's Reflection,(15-20)% increased Effect of your Curses,15,20
Atziri's Reflection,+(180-200) to maximum Energy Shield,180,200
Atziri's Reflection,(180-200)% increased Evasion Rating,180,200
Atziri's Reflection,+(40-60) to Intelligence,40,60
Atziri's Splendour,+(20-24)% to all Elemental Resistances,20,24
Atziri's Splendour,(270-300)% increased Energy Shield,270,300
Atziri's Splendour,+(70-80) to maximum Energy Shield,70,80
Atziri's Splendour,+(90-100) to maximum Life,90,100
Atziri's Splendour,(200-220)% increased Evasion and Energy Shield,200,220
Atziri's Splendour,(380-420)% increased Evasion Rating,380,420
Atziri's Splendour,(200-220)% increased Armour and Evasion,200,220
Atziri's Splendour,(200-220)% increased Armour and Energy Shield,200,220
Atziri's Splendour,(380-420)% increased Armour,380,420
Atziri's Splendour,"(270-340)% increased Armour, Evasion and Energy Shield",270,340
Atziri's Step,+(20-26)% chance to Suppress Spell Damage,20,26
Atziri's Step,+(55-75) to maximum Life,55,75
Augyre,(10-15)% increased Attack Speed,10,15
Augyre,(180-220)% increased Physical Damage,180,220
Augyre,(80-100)% increased Critical Strike Chance,80,100
Aukuna's Will,(100-150)% increased Evasion and Energy Shield,100,150
Aukuna's Will,Raised Zombies have (80-100)% increased maximum Life,80,100
Aukuna's Will,(5-7)% increased Cast Speed,5,7
Aukuna's Will,+(30-40) to Dexterity,30,40
Aul's Uprising,+(10-16) to all Attributes,10,16
Aul's Uprising,+(15-20) to all Attributes,15,20
Aul's Uprising,+(50-70) to maximum Life,50,70
Aul's Uprising,(15-20)% increased Global Defences,15,20
Aul's Uprising,+(20-30) to Dexterity,20,30
Aul's Uprising,(15-20)% increased Evasion Rating,15,20
Aul's Uprising,(15-20)% increased maximum Energy Shield,15,20
Aul's Uprising,+(20-30) to Intelligence,20,30
Aul's Uprising,+(20-30) to Strength,20,30
Aul's Uprising,(15-20)% increased Armour,15,20
Aurseize,(40-60)% increased Armour and Evasion,40,60
Aurseize,(40-50)% increased Rarity of Items found,40,50
Aurumvorax,+(40-60)% to all Elemental Resistances,40,60
Aurumvorax,(120-150)% increased Physical Damage,120,150
Auxium,+(45-55) to maximum Mana,45,55
Auxium,(20-25)% increased Elemental Damage with Attack Skills per Power Charge,20,25
Auxium,+(60-80) to maximum Energy Shield,60,80
Auxium,+(60-70) to maximum Energy Shield,60,70
Axiom Perpetuum,Adds (2-3) to (5-6) Fire Damage to Spells,4,5
Axiom Perpetuum,(4-6)% increased Cast Speed,4,6
Axiom Perpetuum,(100-140)% increased Spell Critical Strike Chance,100,140
Axiom Perpetuum,Adds (2-3) to (5-6) Cold Damage to Spells,4,5
Axiom Perpetuum,Adds 1 to (10-12) Lightning Damage to Spells,6,7
Azadi Crest,+(1-100) to maximum Life,1,100
Azadi Crest,(1-10)% chance to avoid Projectiles,1,10
Azadi Crest,+(1-10)% Chance to Block,1,10
Badge of the Brotherhood,(7-10)% increased Effect of Elusive on you per Power Charge,7,10
Badge of the Brotherhood,(20-25)% chance to lose a Power Charge when you gain Elusive,20,25
Badge of the Brotherhood,(7-10)% increased Cooldown Recovery Rate of Travel Skills per Frenzy Charge,7,10
Badge of the Brotherhood,(20-25)% chance to lose a Frenzy Charge when you use a Travel Skill,20,25
Badge of the Brotherhood,+(16-24) to Dexterity and Intelligence,16,24
Balefire,Recover (1-3)% of Life on Kill,1,3
Balefire,Recover (1-3)% of Mana on Kill,1,3
Balefire,(12-20)% increased Cast Speed,12,20
Bated Breath,+(15-25) to Intelligence,15,25
Bated Breath,+(9-20) to maximum Energy Shield,9,20
Bated Breath,+(20-30) to maximum Energy Shield,20,30
Beacon of Madness,(20-40)% increased Effect of Non-Damaging Ailments,20,40
Beacon of Madness,+(8-12)% to Fire and Lightning Resistances,8,12
Beacon of Madness,(150-300)% increased Armour and Evasion,150,300
Beacon of Madness,+(8-12)% to Fire and Cold Resistances,8,12
Beacon of Madness,(20-40)% increased Chaos Damage,20,40
Beacon of Madness,+(8-12)% to Cold and Lightning Resistances,8,12
Bear's Girdle,(20-30)% increased Stun Duration on Enemies,20,30
Bear's Girdle,+(25-40) to maximum Life,25,40
Bear's Girdle,Adds (5-7) to (11-12) Physical Damage to Attacks,8,10
Belly of the Beast,+(10-15)% to all Elemental Resistances,10,15
Belly of the Beast,(150-200)% increased Armour,150,200
Belly of the Beast,(30-40)% increased maximum Life,30,40
Belt of the Deceiver,+(10-15)% to all Elemental Resistances,10,15
Belt of the Deceiver,(15-25)% increased Global Physical Damage,15,25
Belt of the Deceiver,+(25-35) to Strength,25,35
Belt of the Deceiver,+(30-40) to maximum Life,30,40
Beltimber Blade,(15-20)% increased Attack Speed,15,20
Beltimber Blade,(185-215)% increased Physical Damage,185,215
Berek's Grip,(25-30)% increased Cold Damage,25,30
Berek's Grip,+(30-40) to maximum Life,30,40
Berek's Grip,Adds 1 to (50-70) Lightning Damage to Spells and Attacks,26,36
Berek's Grip,+(12-16)% to Cold and Lightning Resistances,12,16
Berek's Pass,Adds (20-25) to (30-50) Cold Damage to Spells and Attacks,25,38
Berek's Pass,+(12-16)% to Fire and Cold Resistances,12,16
Berek's Pass,(25-30)% increased Fire Damage,25,30
Berek's Pass,+(30-40) to maximum Energy Shield,30,40
Berek's Respite,(25-30)% increased Lightning Damage,25,30
Berek's Respite,+(30-40) to maximum Mana,30,40
Berek's Respite,Adds (20-25) to (30-50) Fire Damage to Spells and Attacks,25,38
Berek's Respite,+(12-16)% to Fire and Lightning Resistances,12,16
Betrayal's Sting,-(30-20)% to all Elemental Resistances,-30,-20
Betrayal's Sting,+(20-30)% to Chaos Resistance,20,30
Betrayal's Sting,(25-40)% chance to inflict an additional Poison on the same Target when you inflict Poison,25,40
Betrayal's Sting,Adds (3-4) to (10-14) Physical Damage to Attacks,7,9
Betrayal's Sting,+(20-35) to Dexterity,20,35
Binds of Bloody Vengeance,(20-40)% increased Attack Damage if you've been Hit Recently,20,40
Binds of Bloody Vengeance,+(60-90) to maximum Life,60,90
Binds of Bloody Vengeance,+(260-320) to Armour and Evasion Rating,260,320
Binds of Bloody Vengeance,+(200-400) to Armour,200,400
Bino's Kitchen Knife,Adds (140-155) to (210-235) Physical Damage,175,195
Bino's Kitchen Knife,+(15-25)% to Global Critical Strike Multiplier,15,25
Bino's Kitchen Knife,(40-50)% increased Critical Strike Chance,40,50
Bino's Kitchen Knife,+(17-29)% to Chaos Resistance,17,29
Bisco's Leash,+(20-40)% to Cold Resistance,20,40
Bisco's Leash,+(25-35) to Strength,25,35
Bisco's Leash,+(10-15) to all Attributes,10,15
Bitter Instinct,Reflects (200-300) Physical Damage to Melee Attackers,200,300
Bitter Instinct,(170-250)% increased Armour and Evasion,170,250
Bitter Instinct,Retaliation Skills deal (50-100)% increased Damage,50,100
Bitter Instinct,Retaliation Skills become Usable for (50-100)% longer,50,100
Bitterbind Point,(180-220)% increased Energy Shield,180,220
Bitterbind Point,Catarina's Veiled (prefix),3,15002
Bitterbind Point,(50-100)% increased Spell Critical Strike Chance per Raised Spectre,50,100
Bitterbind Point,Raised Spectres have (50-100)% increased maximum Life,50,100
Black Sun Crest,(5-15)% increased Intelligence,5,15
Black Sun Crest,(5-15)% increased Strength,5,15
Black Sun Crest,(5-15)% increased Dexterity,5,15
Black Sun Crest,(100-150)% increased Armour,100,150
Black Zenith,(140-180)% increased Energy Shield,140,180
Black Zenith,(12-16)% increased Spell Damage,12,16
Blackflame,(10-15)% chance to Ignite,10,15
Blackflame,+(17-23)% to Chaos Resistance,17,23
Blackflame,+(8-12)% to Fire Damage over Time Multiplier,8,12
Blackflame,+(20-25)% to Fire and Chaos Resistances,20,25
Blackgleam,+(10-30) to maximum Mana,10,30
Blackgleam,Adds (12-15) to (24-27) Fire Damage to Attacks,18,21
Blackgleam,+(80-100) to Evasion Rating,80,100
Blackheart,Regenerate (10-15) Life per second,600,900
Blackheart,Adds (10-15) to (20-25) Chaos Damage to Attacks,15,20
Blasphemer's Grasp,(150-200)% increased Evasion and Energy Shield,150,200
Blasphemer's Grasp,+(50-60) to maximum Life,50,60
Blasphemer's Grasp,+(40-50) to Dexterity,40,50
Blood of the Karui,(50-35)% reduced Recovery rate,-50,-35
Blood Price,Regenerate (200-250) Life per second,12000,15000
Bloodbond,(100-120)% increased Evasion and Energy Shield,100,120
Bloodbond,(15-25)% increased maximum Life,15,25
Bloodbond,Minions have +(12-15)% chance to Suppress Spell Damage,12,15
Bloodbond,Minions have (20-30)% increased maximum Life,20,30
Bloodgrip,Regenerate (1.2-1.6)% of Life per second,72,96
Bloodgrip,Regenerate (16-24) Life per second,960,1440
Bloodgrip,+(60-70) to maximum Life,60,70
Bloodnotch,(20-30)% of Damage taken from Stunning Hits is Recovered as Life,20,30
Bloodplay,Adds (3-6) to (9-13) Physical Damage,6,10
Bloodplay,(20-40)% increased Physical Damage,20,40
Bloodseeker,(5-10)% increased Maximum Recovery per Life Leech for each 5% of Life Reserved,5,10
Bloodseeker,(15-25)% increased Life Reservation Efficiency of Skills,15,25
Bloodseeker,(200-250)% increased Physical Damage,200,250
Bloodsoaked Medallion,+(17-29)% to Chaos Resistance,17,29
Bloodsoaked Medallion,+(50-70) to maximum Life,50,70
Bloodsoaked Medallion,+(20-30) to Strength,20,30
Bloodsoaked Medallion,(30-50)% increased Global Critical Strike Chance,30,50
Blunderbore,+(8-12)% to all Elemental Resistances,8,12
Blunderbore,(80-120)% increased Armour,80,120
Blunderbore,(50-75)% increased Effect of Shrine Buffs on you,50,75
Blunderbore,+(500-700) Strength Requirement,500,700
Bonemeld,+(1-2) to Level of all Minion Skill Gems,1,2
Bonemeld,+(10-20) to all Attributes,10,20
Bonemeld,(3-4)% increased Defences per Minion from your Non-Vaal Skills,3,4
Bonemeld,Regenerate (1.2-1.6)% of Life per second,72,96
Bones of Ullr,(40-60)% increased Energy Shield,40,60
Bones of Ullr,(5-15)% increased Movement Speed,5,15
Bottled Faith,(100-150)% increased Critical Strike Chance against Enemies on Consecrated Ground during Effect,100,150
Bottled Faith,Consecrated Ground created during Effect applies (7-10)% increased Damage taken to Enemies,7,10
Bottled Faith,(30-15)% reduced Duration,-30,-15
Bound By Destiny,(10-15)% increased maximum Mana if 2 Shaper Items are Equipped,10,15
Bound By Destiny,+(2-3)% to maximum Chaos Resistance if 4 Hunter Items are Equipped,2,3
Bound By Destiny,(10-15)% increased maximum Life if 2 Elder Items are Equipped,10,15
Bound By Destiny,(1.0-3.0)% of Physical Damage Prevented Recently is Regenerated as Energy Shield Per Second if 6 Crusader Items are Equipped,10,30
Bound By Destiny,(10-15)% chance to gain a Frenzy Charge on Hit if 4 Redeemer Items are Equipped,10,15
Bound By Destiny,(10-15)% chance to gain a Power Charge on Hit if 4 Crusader Items are Equipped,10,15
Bound By Destiny,+(2-3)% to maximum Fire Resistance if 4 Warlord Items are Equipped,2,3
Bound By Destiny,(5-10)% of Physical Damage taken as Lightning Damage if 4 Crusader Items are Equipped,5,10
Bound By Destiny,+(1-2)% to all maximum Elemental Resistances if 6 Shaper Items are Equipped,1,2
Bound By Destiny,(5-10)% of Physical Damage taken as Fire Damage if 4 Warlord Items are Equipped,5,10
Bound By Destiny,(10-15)% increased Attributes if 6 Elder Items are Equipped,10,15
Bound By Destiny,Attacks have +(1-1.5)% to Critical Strike Chance if 4 Elder Items are Equipped,100,150
Bound By Destiny,(10-20)% increased Cooldown Recovery Rate if 2 Shaper Items are Equipped,10,20
Bound By Destiny,(5-10)% of Physical Damage taken as Cold Damage if 4 Redeemer Items are Equipped,5,10
Bound By Destiny,Gain (10-15)% of Physical Damage as Extra Damage of each Element if&lt;br&gt;6 Shaper Items are Equipped,10,15
Bound By Destiny,+(1-1.5)% to Spell Critical Strike Chance if 4 Shaper Items are Equipped,100,150
Bound By Destiny,(10-15)% increased Strength if 2 Warlord Items are Equipped,10,15
Bound By Destiny,(10-15)% increased Intelligence if 2 Crusader Items are Equipped,10,15
Bound By Destiny,(10-15)% increased Dexterity if 2 Redeemer Items are Equipped,10,15
Bound By Destiny,(5-10)% of Elemental Damage taken as Chaos Damage if 4 Hunter Items are Equipped,5,10
Bound By Destiny,+(2-3)% to maximum Cold Resistance if 4 Redeemer Items are Equipped,2,3
Bound By Destiny,+(2-3)% to maximum Lightning Resistance if 4 Crusader Items are Equipped,2,3
Bound By Destiny,(10-15)% increased Movement Speed if 4 Hunter Items are Equipped,10,15
Bound By Destiny,(1-3)% of Physical Damage Leeched as Energy Shield if 2 Elder Items are Equipped,100,300
Bound By Destiny,(1-3)% of Elemental Damage Leeched as Energy Shield if 2 Shaper Items are Equipped,100,300
Bound Fate,(15-25)% increased Stun and Block Recovery,15,25
Bound Fate,+(60-80) to maximum Life,60,80
Bound Fate,+(20-30) to Dexterity,20,30
Bound Fate,+(20-30) to Intelligence,20,30
Brain Rattler,Adds (100-130) to (360-430) Physical Damage,230,280
Bramblejack,+(30-60) to maximum Life,30,60
Bramblejack,-(15-10) Physical Damage taken from Attack Hits,-15,-10
Breath of the Council,(80-100)% increased Chaos Damage,80,100
Breath of the Council,(260-310)% increased Physical Damage,260,310
Breathstealer,+(10-16)% to all Elemental Resistances,10,16
Breathstealer,+(30-50) to maximum Mana,30,50
Breathstealer,(100-150)% increased Armour and Evasion,100,150
Breathstealer,(5-10)% increased Attack and Cast Speed,5,10
Brightbeak,+(20-30)% to Fire Resistance,20,30
Brightbeak,+(20-30)% to Lightning Resistance,20,30
Brightbeak,(50-75)% increased Physical Damage,50,75
Brinerot Flag,(5-10)% increased Spell Damage,5,10
Brinerot Flag,(20-40)% increased Mana Regeneration Rate,20,40
Brinerot Flag,(8-12)% increased Cast Speed,8,12
Brinerot Flag,+(70-90) to maximum Energy Shield,70,90
Brinerot Mark,(20-25)% increased Spell Damage,20,25
Brinerot Mark,+(20-40)% to Lightning Resistance,20,40
Brinerot Mark,+(15-25) to maximum Energy Shield,15,25
Brinerot Whalers,(20-40)% increased Projectile Damage,20,40
Brinerot Whalers,+(80-100) to maximum Energy Shield,80,100
Brinerot Whalers,+(20-30)% to Lightning Resistance,20,30
Briskwrap,+(120-180) to Evasion Rating,120,180
Briskwrap,(60-100)% increased Mana Recovery from Flasks,60,100
Briskwrap,+(30-40)% to Cold Resistance,30,40
Bronn's Lithe,(200-250)% increased Evasion Rating,200,250
Bronn's Lithe,(60-100)% increased Damage with Movement Skills,60,100
Brutal Restraint,Denoted service of (500-8000) dekhara in the akhara of Nasima&lt;br&gt;Passives in radius are Conquered by the Maraketh&lt;br&gt;Historic,334,1585
Brutus' Lead Sprinkler,Adds (8-13) to (26-31) Physical Damage,17,22
Brutus' Lead Sprinkler,(30-40)% increased Critical Strike Chance,30,40
Brutus' Lead Sprinkler,(15-20)% increased Attack Speed,15,20
Bubonic Trail,(24-32)% increased Movement Speed while affected by a Magic Abyss Jewel,24,32
Bubonic Trail,(60-40)% reduced Duration of Elemental Ailments on You while affected by a Rare Abyss Jewel,-60,-40
Bubonic Trail,(16-24)% increased Reservation Efficiency of Skills while affected by a Unique Abyss Jewel,16,24
Cadigan's Authority,+(3-5) to maximum number of Summoned Totems,3,5
Cadigan's Authority,Adds (60-85) to (100-133) Physical Damage,80,109
Cadigan's Authority,(40-70)% increased Totem Placement speed,40,70
"Caer Blaidd, Wolfpack's Den",(20-50)% increased Magic Monsters&lt;br&gt;150% increased Quantity of Items found in this Area,85,100
"Caer Blaidd, Wolfpack's Den",(20-50)% increased number of Rare Monsters&lt;br&gt;150% increased Rarity of Items found in this Area,85,100
Call of the Brotherhood,(15-25)% increased Lightning Damage,15,25
Call of the Brotherhood,(30-40)% increased Mana Regeneration Rate,30,40
Call of the Brotherhood,+(12-16)% to Cold and Lightning Resistances,12,16
Call of the Brotherhood,+(15-25) to Intelligence,15,25
Call of the Void,+(20-30)% to Cold Resistance,20,30
Callinellus Malleus,Adds (5-10) to (15-23) Physical Damage,10,17
Callinellus Malleus,(150-200)% increased Physical Damage,150,200
Callinellus Malleus,(15-25)% reduced Enemy Stun Threshold with this Weapon,15,25
Cameria's Avarice,(30-40)% increased Cold Damage with Attack Skills,30,40
Cameria's Avarice,(15-40)% increased Critical Strike Chance,15,40
Cameria's Avarice,(140-180)% increased Physical Damage,140,180
Cameria's Avarice,Adds (11-14) to (17-21) Physical Damage,14,18
Cameria's Maul,Adds (10-20) to (30-50) Cold Damage,20,35
Cameria's Maul,(15-40)% increased Critical Strike Chance,15,40
Cameria's Maul,(140-180)% increased Physical Damage,140,180
Cameria's Maul,(30-40)% increased Cold Damage with Attack Skills,30,40
Cane of Kulemak,(60-90)% increased Unveiled Modifier magnitudes,60,90
Cane of Kulemak,Catarina's Veiled (prefix),3,15002
Cane of Kulemak,of the Veil (suffix),2,15001
Cane of Kulemak,Veiled (prefix),1,15001
Cane of Unravelling,(20-30)% increased Chaos Damage,20,30
Cane of Unravelling,+(40-55)% to Chaos Damage over Time Multiplier,40,55
Carcass Jack,+(9-12)% to all Elemental Resistances,9,12
Carcass Jack,(40-50)% increased Area Damage,40,50
Carcass Jack,+(50-70) to maximum Life,50,70
Carcass Jack,(40-50)% increased Area of Effect,40,50
Carcass Jack,(120-150)% increased Evasion and Energy Shield,120,150
Carnage Heart,(30-40)% increased Damage while Leeching,30,40
Carnage Heart,(1.2-2)% of Physical Attack Damage Leeched as Life,120,200
Carnage Heart,+(10-20)% to all Elemental Resistances,10,20
Carnage Heart,+(10-16) to all Attributes,10,16
Carnage Heart,+(20-40) to all Attributes,20,40
Ceaseless Feast,(20-30)% chance to gain a Frenzy Charge on Hitting an Enemy with no Evasion Rating,20,30
Ceaseless Feast,(100-150)% increased Armour,100,150
Ceaseless Feast,(20-30)% chance to gain an Endurance Charge on Hitting an Enemy with no Armour,20,30
Ceaseless Feast,Adds (2-3) to (22-26) Physical Damage to Attacks,12,15
Ceaseless Feast,(16-20)% increased Melee Damage,16,20
